Reads T0 (rep1)	Reads Tend (rep1)	Reads T0 (rep2)	Reads Tend (rep2)
164	191	203	361
66	104	66	23
91	86	142	142
49	27	60	21
376	205	407	222
273	377	404	184
311	322	398	606
1047	1005	1380	1133
378	578	360	340
488	772	658	1048
1031	1232	1246	928
136	258	123	231
5	36	53	75
37	26	16	41
43	21	55	75
314	315	519	734
1172	1607	1573	1633
166	158	289	87
152	132	134	63
454	382	616	355
149	96	148	304
280	416	310	320
394	571	399	400
127	130	95	134
32	28	22	36
445	540	516	643
712	517	705	687
148	236	208	103
318	250	352	431
784	618	1042	914
962	1215	1135	988
348	371	496	310
128	151	250	258
506	482	824	691
213	195	289	276
550	866	637	772
745	933	759	1017
37	76	43	71
41	141	118	51
558	611	682	762
675	1010	895	918
1056	1242	1263	541
929	1281	1201	800
147	282	155	104
140	275	198	532
315	170	499	213
384	306	465	202
88	80	117	54
230	332	387	665
193	416	241	155
131	549	111	102
340	291	412	439
57	291	86	124
97	52	140	86
205	167	227	381
126	84	133	96
315	276	327	517
175	251	191	148
161	231	292	544
451	546	583	476
184	338	300	93
417	412	584	359
491	840	844	938
210	99	174	127
279	347	332	320
1156	1478	1375	1019
352	632	597	1141
416	445	593	595
123	161	190	200
11	0	30	60
83	123	150	153
548	413	561	827
405	444	453	346
225	113	265	293
621	813	753	748
593	449	513	716
109	159	137	35
831	1132	1001	718
215	109	164	223
71	39	103	53
307	327	392	299
754	1033	843	1329
581	630	719	837
109	140	177	240
182	174	231	256
50	21	46	178
38	91	115	77
181	205	256	178
80	156	96	100
279	357	306	308
125	162	188	103
171	380	213	233
193	150	267	203
266	367	373	413
251	269	221	335
88	51	94	88
184	148	264	48
132	231	263	165
260	585	357	347
329	357	474	475
349	190	456	428
757	730	625	681
96	58	74	4
376	448	484	578
132	230	228	262
139	221	117	60
485	495	653	794
925	1145	1061	1158
323	188	421	307
167	163	140	114
59	38	88	105
171	120	192	267
346	398	475	500
360	427	335	535
56	112	43	60
